"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-05",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-06",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-07",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-10",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-11",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-16",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-05-03",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-06-09",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-06-25",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-23",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-28",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-29",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-30",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-01",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-02",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-03",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-06",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-21",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-22",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-23",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-24",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-25",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-26",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-27",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-28",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-29",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-30",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-01",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-02",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-04",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-05",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-06",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-07",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-08",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-09",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-10",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-11",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-14",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-15",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-16",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-17",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-18",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-20",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-21",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-24",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-25",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-30",,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-01","53","59","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-02","56","60","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-03","54","56","49",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-04","56","59","52",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-05","53","57","48",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-06","49","53","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-07","47","49","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-08","52","56","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-09","50","55","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-10","50","55","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-11","52","61","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-12","51","57","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-13","53","61","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-14","50","56","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-15","54","63","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-16","54","57","52",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-17","53","60","51",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-18","51","54","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-19","47","53","43",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-20","46","51","42",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-21","48","55","41",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-22","49","55","43",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-23","47","56","42",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-24","47","53","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-25","45","51","42",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-26","45","53","41",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-27","49","58","41",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-28","54","62","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-29","54","60","49",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-30","58","68","51",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-31","57","66","48",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-01","62","69","55",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-02","63","70","58",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-03","65","72","59",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-04","64","71","59",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-05","65","76","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-06","63","70","57",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-07","61","68","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-08","64","72","57",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-09","64","78","51",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-10","53","61","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-11","49","54","45",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-12","48","54","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-13","50","59","43",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-14","49","58","45",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-15","49","58","41",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-16","54","63","48",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-17","54","68","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-18","44","48","39",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-19","41","47","37",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-20","41","50","34",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-21","44","52","38",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-22","43","48","39",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-23","41","48","33",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-24","44","51","37",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-25","45","57","39",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-26","43","45","38",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-27","44","53","38",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-28","45","51","41",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-01","47","50","41",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-02","42","50","38",
